,省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
0,河南省,黄河流域,龙门大桥,2021-11-16 16:00:00,Ⅱ,14.2,7.92,8.33,272.4,16.8,2.59,0.187,0.041,6.04,*,*,正常
1,河南省,淮河流域,紫罗山,2021-11-16 16:00:00,Ⅱ,13,8.32,13.98,411,7,2.81,0.025,0.02,4.27,*,*,正常
2,河南省,黄河流域,白马寺,2021-11-16 16:00:00,Ⅱ,12.7,8.02,12.66,679.8,9.7,1.85,0.128,0.059,7.8,*,*,正常
3,河南省,黄河流域,洛宁长水,2021-11-16 16:00:00,,13.4,8.19,10.27,436,14.5,--,0.025,0.028,--,*,*,维护
4,河南省,淮河流域,杨寨中村,2021-11-16 16:00:00,,12.6,8.16,11.15,1006.8,20.7,--,--,--,--,*,*,维护
5,河南省,淮河流域,石漫滩水库,2021-11-16 16:00:00,Ⅱ,15.2,8.12,9.6,351.6,9.5,3.44,0.025,0.016,2.53,*,*,正常
6,河南省,海河流域,彰武水库,2021-11-16 16:00:00,Ⅰ,14.5,8.59,11.32,698.1,4.6,1.07,0.07,0.016,6.22,*,*,正常
7,河南省,海河流域,冯宿桥,2021-11-16 16:00:00,Ⅱ,14.2,7.43,10.62,894.8,23.1,1.26,0.221,0.046,9.28,*,*,正常
8,河南省,海河流域,弓上水库,2021-11-16 16:00:00,Ⅰ,10.6,8.31,11.33,443.8,4.5,0.88,0.025,0.005,3.4,*,*,正常
9,河南省,海河流域,黄花营,2021-11-16 16:00:00,Ⅰ,16,8,9.29,547,4.1,1.74,0.025,0.012,7.03,*,*,正常
10,河南省,海河流域,前枋城,2021-11-16 16:00:00,Ⅰ,14.7,8.42,9.98,598.4,18.2,0.98,0.102,0.011,15.05,*,*,正常
11,河南省,海河流域,修武水文站,2021-11-16 16:00:00,Ⅳ,15.2,7.78,8.96,1901.6,62,4.21,0.33,0.208,10.81,*,*,正常
12,河南省,海河流域,获嘉东碑村,2021-11-16 16:00:00,Ⅲ,14.7,8.46,12.57,2979.3,3.8,5.92,0.45,0.16,7.98,*,*,正常
13,河南省,黄河流域,封丘陶北,2021-11-16 16:00:00,Ⅲ,14.1,7.8,5.48,833.9,41.2,2.75,0.028,0.053,3.96,*,*,正常
14,河南省,黄河流域,封丘王堤,2021-11-16 16:00:00,Ⅳ,12.5,8.18,11.13,988.3,27.4,5.89,1.254,0.242,5.25,*,*,正常
15,河南省,黄河流域,武陟渠首,2021-11-16 16:00:00,Ⅱ,13.4,8.42,10.12,859.9,180.3,3.42,0.18,0.086,1.85,*,*,正常
